Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 11:26:37,2018-11-30 11:30:52,4m - 15.722s,PASSED
,,,,,,
Test Cases/VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 11:26:37,2018-11-30 11:30:52,4m - 15.332s,PASSED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-30 11:26:37,2018-11-30 11:26:37,0.000s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-30 11:26:37,2018-11-30 11:26:37,0.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-30 11:26:37,2018-11-30 11:26:44,6.154s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-30 11:26:44,2018-11-30 11:26:45,1.295s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:26:45,2018-11-30 11:26:49,4.242s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:26:49,2018-11-30 11:26:53,4.120s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:26:53,2018-11-30 11:26:57,3.396s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-30 11:26:57,2018-11-30 11:26:59,2.133s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-30 11:26:59,2018-11-30 11:27:00,1.065s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:00,2018-11-30 11:27:02,2.122s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:02,2018-11-30 11:27:08,6.203s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:08,2018-11-30 11:27:14,6.212s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:14,2018-11-30 11:27:21,6.209s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:21,2018-11-30 11:27:27,6.187s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:27,2018-11-30 11:27:34,7.450s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:27:34,2018-11-30 11:27:42,8.240s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:42,2018-11-30 11:27:49,6.171s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:49,2018-11-30 11:27:55,6.192s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:27:55,2018-11-30 11:28:01,6.244s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 11:28:01,2018-11-30 11:28:13,12.281s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:28:13,2018-11-30 11:28:22,8.411s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:28:22,2018-11-30 11:28:28,6.249s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:28:28,2018-11-30 11:28:36,8.288s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:28:36,2018-11-30 11:28:45,8.317s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:28:45,2018-11-30 11:28:53,8.275s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:28:53,2018-11-30 11:28:59,6.186s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:28:59,2018-11-30 11:29:01,2.071s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:01,2018-11-30 11:29:07,6.195s,PASSED
Statement - Try,Chrome 70.0.3538.110,,2018-11-30 11:29:07,2018-11-30 11:29:07,0.002s,PASSED
Statement - Catch (Exception e),Chrome 70.0.3538.110,,2018-11-30 11:29:07,2018-11-30 11:29:14,6.170s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:14,2018-11-30 11:29:20,6.169s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:20,2018-11-30 11:29:26,6.165s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:26,2018-11-30 11:29:32,6.235s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:32,2018-11-30 11:29:38,6.221s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:38,2018-11-30 11:29:46,7.362s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:29:46,2018-11-30 11:29:52,6.224s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:29:52,2018-11-30 11:30:00,8.253s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 11:30:00,2018-11-30 11:30:11,11.245s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:30:11,2018-11-30 11:30:20,8.236s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 11:30:20,2018-11-30 11:30:32,12.223s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:30:32,2018-11-30 11:30:40,8.190s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:30:40,2018-11-30 11:30:46,6.137s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:30:46,2018-11-30 11:30:48,2.069s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:30:48,2018-11-30 11:30:50,2.166s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-30 11:30:50,2018-11-30 11:30:52,1.949s,PASSED
