Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AdminEntersAbsence.dataDriven,Chrome 71.0.3578.98,,2019-01-17 15:39:40,2019-01-17 15:45:18,5m - 37.884s,PASSED
,,,,,,
Test Cases/AdminEntersAbsence.dataDriven,Chrome 71.0.3578.98,,2019-01-17 15:39:41,2019-01-17 15:42:15,2m - 34.790s,PASSED
evt = 30,Chrome 71.0.3578.98,,2019-01-17 15:39:41,2019-01-17 15:39:41,0.001s,PASSED
plt = 30,Chrome 71.0.3578.98,,2019-01-17 15:39:41,2019-01-17 15:39:41,0.000s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-17 15:39:41,2019-01-17 15:39:47,5.671s,PASSED
navigateToUrl(url),Chrome 71.0.3578.98,,2019-01-17 15:39:47,2019-01-17 15:39:48,1.192s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_User ID_userid""), userid)",Chrome 71.0.3578.98,,2019-01-17 15:39:48,2019-01-17 15:39:52,4.204s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_Password_pwd""), password)",Chrome 71.0.3578.98,,2019-01-17 15:39:52,2019-01-17 15:39:56,4.174s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Oracle PeopleSoft Sign-in/input_Select a Language_Submit""))",Chrome 71.0.3578.98,,2019-01-17 15:39:56,2019-01-17 15:39:59,3.114s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-17 15:39:59,2019-01-17 15:40:02,2.150s,PASSED
waitForPageLoad(plt),Chrome 71.0.3578.98,,2019-01-17 15:40:02,2019-01-17 15:40:03,1.042s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Sign Out_PT_NAVBAR""))",Chrome 71.0.3578.98,,2019-01-17 15:40:03,2019-01-17 15:40:05,2.450s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/div_Navigator_grouplet_PTNBPTN""))",Chrome 71.0.3578.98,,2019-01-17 15:40:05,2019-01-17 15:40:11,6.276s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Global Payroll  Absence Mgmt""))",Chrome 71.0.3578.98,,2019-01-17 15:40:11,2019-01-17 15:40:18,6.188s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Payee Data""))",Chrome 71.0.3578.98,,2019-01-17 15:40:18,2019-01-17 15:40:24,6.200s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Maintain Absences""))",Chrome 71.0.3578.98,,2019-01-17 15:40:24,2019-01-17 15:40:30,6.177s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_My Homepage/a_Absence Event""))",Chrome 71.0.3578.98,,2019-01-17 15:40:30,2019-01-17 15:40:37,7.265s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Empl ID_EMPLMT_SRCH_GBL_""), emplID)",Chrome 71.0.3578.98,,2019-01-17 15:40:37,2019-01-17 15:40:45,8.227s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Empl Record_EMPLMT_SRCH_""), emplIDRecordNum)",Chrome 71.0.3578.98,,2019-01-17 15:40:45,2019-01-17 15:40:54,8.217s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Case Sensitive_ICSearch""))",Chrome 71.0.3578.98,,2019-01-17 15:40:54,2019-01-17 15:41:00,6.213s,PASSED
try,Chrome 71.0.3578.98,,2019-01-17 15:41:00,2019-01-17 15:41:06,6.197s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/a_Approved_GP_ABS_EVENTnew00""))",Chrome 71.0.3578.98,,2019-01-17 15:41:06,2019-01-17 15:41:12,6.187s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Sick_GP_PIN_NM_VW_PIN_NM""), absenceTake)",Chrome 71.0.3578.98,,2019-01-17 15:41:12,2019-01-17 15:41:21,8.417s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Sick_GP_ABS_EVENT_BGN_DT""), beginDate)",Chrome 71.0.3578.98,,2019-01-17 15:41:21,2019-01-17 15:41:29,8.367s,PASSED
"setText(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/input_Sick_GP_ABS_EVENT_END_DT""), endDate)",Chrome 71.0.3578.98,,2019-01-17 15:41:29,2019-01-17 15:41:37,8.347s,PASSED
"click(findTestObject(""Object Repository/AdminEntersAbsence/Page_Absence Event/select_NormalVoid""))",Chrome 71.0.3578.98,,2019-01-17 15:41:37,2019-01-17 15:41:44,6.181s,PASSED
