Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 11:12:09,2018-11-30 11:14:58,2m - 49.219s,FAILED
,,,,,,
Test Cases/VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-30 11:12:10,2018-11-30 11:14:56,2m - 46.611s,FAILED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-30 11:12:10,2018-11-30 11:12:10,0.001s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-30 11:12:10,2018-11-30 11:12:10,0.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-30 11:12:10,2018-11-30 11:12:18,7.579s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-30 11:12:18,2018-11-30 11:12:28,9.904s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:12:28,2018-11-30 11:12:32,4.214s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:12:32,2018-11-30 11:12:36,4.112s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:12:36,2018-11-30 11:12:39,3.273s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-30 11:12:39,2018-11-30 11:12:41,2.137s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-30 11:12:41,2018-11-30 11:12:43,1.083s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:12:43,2018-11-30 11:12:45,2.086s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:12:45,2018-11-30 11:12:51,6.165s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:12:51,2018-11-30 11:12:57,6.134s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:12:57,2018-11-30 11:13:03,6.131s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:13:03,2018-11-30 11:13:09,6.121s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:13:09,2018-11-30 11:13:17,7.477s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:13:17,2018-11-30 11:13:25,8.171s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:13:25,2018-11-30 11:13:31,6.118s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:13:31,2018-11-30 11:13:37,6.113s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:13:37,2018-11-30 11:13:43,6.109s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-30 11:13:43,2018-11-30 11:13:55,12.170s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:13:55,2018-11-30 11:14:04,8.294s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:14:04,2018-11-30 11:14:10,6.156s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:14:10,2018-11-30 11:14:18,8.282s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:14:18,2018-11-30 11:14:26,8.224s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-30 11:14:26,2018-11-30 11:14:34,8.153s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:14:34,2018-11-30 11:14:41,6.133s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:14:41,2018-11-30 11:14:43,2.063s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:14:43,2018-11-30 11:14:49,6.145s,PASSED
Statement - Try,Chrome 70.0.3538.110,,2018-11-30 11:14:49,2018-11-30 11:14:49,0.002s,PASSED
Statement - Catch (Exception e),Chrome 70.0.3538.110,,2018-11-30 11:14:49,2018-11-30 11:14:49,0.000s,PASSED
click,Chrome 70.0.3538.110,,2018-11-30 11:14:49,2018-11-30 11:14:56,7.361s,FAILED
