Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-29 16:12:22,2018-11-29 16:15:03,2m - 40.657s,FAILED
,,,,,,
Test Cases/VacationCarryOver.dataDriven,Chrome 70.0.3538.110,,2018-11-29 16:12:22,2018-11-29 16:15:01,2m - 38.270s,FAILED
Statement - evt = 30,Chrome 70.0.3538.110,,2018-11-29 16:12:23,2018-11-29 16:12:23,0.001s,PASSED
Statement - plt = 30,Chrome 70.0.3538.110,,2018-11-29 16:12:23,2018-11-29 16:12:23,0.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-29 16:12:23,2018-11-29 16:12:29,6.442s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-29 16:12:29,2018-11-29 16:12:31,1.324s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:12:31,2018-11-29 16:12:35,4.232s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:12:35,2018-11-29 16:12:39,4.093s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:12:39,2018-11-29 16:12:42,3.290s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-29 16:12:42,2018-11-29 16:12:44,2.157s,PASSED
waitForPageLoad,Chrome 70.0.3538.110,,2018-11-29 16:12:44,2018-11-29 16:12:45,1.061s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:12:45,2018-11-29 16:12:48,2.141s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:12:48,2018-11-29 16:12:54,6.237s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:12:54,2018-11-29 16:13:00,6.182s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:13:00,2018-11-29 16:13:06,6.195s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:13:06,2018-11-29 16:13:12,6.243s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:13:12,2018-11-29 16:13:20,7.471s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:13:20,2018-11-29 16:13:28,8.238s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:13:28,2018-11-29 16:13:34,6.180s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:13:34,2018-11-29 16:13:40,6.209s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:13:40,2018-11-29 16:13:47,6.203s,PASSED
selectOptionByValue,Chrome 70.0.3538.110,,2018-11-29 16:13:47,2018-11-29 16:13:59,12.306s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:13:59,2018-11-29 16:14:07,8.339s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:14:07,2018-11-29 16:14:14,6.239s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:14:14,2018-11-29 16:14:22,8.291s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:14:22,2018-11-29 16:14:30,8.342s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-29 16:14:30,2018-11-29 16:14:38,8.226s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:14:38,2018-11-29 16:14:45,6.256s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:14:45,2018-11-29 16:14:47,2.107s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:14:47,2018-11-29 16:14:53,6.237s,PASSED
click,Chrome 70.0.3538.110,,2018-11-29 16:14:53,2018-11-29 16:15:01,7.486s,FAILED
